Total Accesses:,3543311
Frames,Missees,Miss Rate
1,3136424,0.885168
2,3072005,0.866987
3,3023621,0.853332
4,2984628,0.842327
5,2946743,0.831635
6,2917408,0.823356
7,2891094,0.815930
8,2866092,0.808874
9,2843393,0.802468
10,2822747,0.796641
11,2804115,0.791383
12,2786372,0.786375
13,2769826,0.781706
14,2753930,0.777219
15,2739142,0.773046
16,2724990,0.769052
17,2711351,0.765203
18,2698014,0.761439
19,2685261,0.757839
20,2672962,0.754368
21,2661055,0.751008
22,2649420,0.747724
23,2638005,0.744503
24,2627347,0.741495
25,2616726,0.738497
26,2606434,0.735593
27,2596413,0.732765
28,2586539,0.729978
29,2577086,0.727310
30,2567627,0.724641
31,2558475,0.722058
32,2549631,0.719562
33,2541038,0.717137
34,2532680,0.714778
35,2524483,0.712464
36,2516529,0.710220
37,2508887,0.708063
38,2501325,0.705929
39,2493992,0.703859
40,2486701,0.701802
41,2479830,0.699862
42,2472988,0.697931
43,2466195,0.696014
44,2459679,0.694175
45,2453300,0.692375
46,2446926,0.690576
47,2440725,0.688826
48,2434611,0.687101
49,2428624,0.685411
50,2422803,0.683768
51,2417151,0.682173
52,2411698,0.680634
53,2406043,0.679038
54,2400581,0.677497
55,2395323,0.676013
56,2390169,0.674558
57,2385147,0.673141
58,2380221,0.671751
59,2375572,0.670438
60,2370709,0.669066
61,2366014,0.667741
62,2361470,0.666459
63,2356925,0.665176
64,2352424,0.663906
65,2348061,0.662674
66,2343829,0.661480
67,2339707,0.660317
68,2335700,0.659186
69,2331636,0.658039
70,2327696,0.656927
71,2323886,0.655852
72,2320111,0.654786
73,2316319,0.653716
74,2312552,0.652653
75,2308951,0.651637
76,2305468,0.650654
77,2301875,0.649640
78,2298384,0.648654
79,2294896,0.647670
80,2291452,0.646698
81,2288038,0.645734
82,2284690,0.644790
83,2281521,0.643895
84,2278351,0.643001
85,2275203,0.642112
86,2272201,0.641265
87,2269271,0.640438
88,2266289,0.639596
89,2263358,0.638769
90,2260399,0.637934
91,2257572,0.637136
92,2254697,0.636325
93,2251929,0.635544
94,2249181,0.634768
95,2246522,0.634018
96,2243747,0.633235
97,2241180,0.632510
98,2238500,0.631754
99,2235942,0.631032
100,2233397,0.630314
101,2230998,0.629637
102,2228454,0.628919
103,2226060,0.628243
104,2223654,0.627564
105,2221326,0.626907
106,2218900,0.626222
107,2216597,0.625572
108,2214270,0.624916
109,2211937,0.624257
110,2209637,0.623608
111,2207373,0.622969
112,2205111,0.622331
113,2202906,0.621708
114,2200750,0.621100
115,2198495,0.620463
116,2196346,0.619857
117,2194208,0.619254
118,2192152,0.618673
119,2190012,0.618069
120,2187890,0.617470
121,2185945,0.616922
122,2183883,0.616340
123,2181974,0.615801
124,2180072,0.615264
125,2178127,0.614715
126,2176116,0.614148
127,2174247,0.613620
128,2172374,0.613092
129,2170520,0.612568
130,2168695,0.612053
131,2166755,0.611506
132,2164965,0.611001
133,2163154,0.610489
134,2161337,0.609977
135,2159557,0.609474
136,2157722,0.608956
137,2156013,0.608474
138,2154337,0.608001
139,2152608,0.607513
